location;date;total_cases;new_cases
Czechia;01.03.2020;3.0;3.0
Czechia;02.03.2020;3.0;0.0
Czechia;03.03.2020;5.0;2.0
Czechia;04.03.2020;8.0;3.0
Czechia;05.03.2020;12.0;4.0
Czechia;06.03.2020;18.0;6.0
Czechia;07.03.2020;19.0;1.0
Czechia;08.03.2020;31.0;12.0
Czechia;09.03.2020;31.0;0.0
Czechia;10.03.2020;41.0;10.0
Czechia;11.03.2020;91.0;50.0
Czechia;12.03.2020;94.0;3.0
Czechia;13.03.2020;141.0;47.0
Czechia;14.03.2020;189.0;48.0
Czechia;15.03.2020;253.0;64.0
Czechia;16.03.2020;298.0;45.0
Czechia;17.03.2020;396.0;98.0
Czechia;18.03.2020;464.0;68.0
Czechia;19.03.2020;694.0;230.0
Czechia;20.03.2020;833.0;139.0
Czechia;21.03.2020;995.0;162.0
Czechia;22.03.2020;1120.0;125.0
Czechia;23.03.2020;1236.0;116.0
Czechia;24.03.2020;1394.0;158.0
Czechia;25.03.2020;1654.0;260.0
Czechia;26.03.2020;1925.0;271.0
Czechia;27.03.2020;2279.0;354.0
Czechia;28.03.2020;2631.0;352.0
Czechia;29.03.2020;2817.0;186.0
Czechia;30.03.2020;3001.0;184.0
Czechia;31.03.2020;3308.0;307.0
Czechia;01.04.2020;3508.0;200.0
Czechia;02.04.2020;3858.0;350.0
Czechia;03.04.2020;4091.0;233.0
Czechia;04.04.2020;4472.0;381.0
Czechia;05.04.2020;4587.0;115.0
Czechia;06.04.2020;4822.0;235.0
Czechia;07.04.2020;5017.0;195.0
Czechia;08.04.2020;5312.0;295.0
Czechia;09.04.2020;5569.0;257.0
Czechia;10.04.2020;5732.0;163.0
Czechia;11.04.2020;5831.0;99.0
Czechia;12.04.2020;5991.0;160.0
Czechia;13.04.2020;6059.0;68.0
Czechia;14.04.2020;6111.0;52.0
Czechia;15.04.2020;6216.0;105.0
Czechia;16.04.2020;6433.0;217.0
Czechia;17.04.2020;6549.0;116.0
Czechia;18.04.2020;6606.0;57.0
Czechia;19.04.2020;6746.0;140.0
Czechia;20.04.2020;6900.0;154.0
Czechia;21.04.2020;7033.0;133.0
Czechia;22.04.2020;7132.0;99.0
Czechia;23.04.2020;7187.0;55.0
Czechia;24.04.2020;7273.0;86.0
Czechia;25.04.2020;7352.0;79.0
Czechia;26.04.2020;7404.0;52.0
Czechia;27.04.2020;7445.0;41.0
Czechia;28.04.2020;7504.0;59.0
Czechia;29.04.2020;7579.0;75.0
Czechia;30.04.2020;7682.0;103.0
Czechia;01.05.2020;7737.0;55.0
Czechia;02.05.2020;7755.0;18.0
Czechia;03.05.2020;7781.0;26.0
Czechia;04.05.2020;7819.0;38.0
Czechia;05.05.2020;7896.0;77.0
Czechia;06.05.2020;7974.0;78.0
Czechia;07.05.2020;8031.0;57.0
Czechia;08.05.2020;8077.0;46.0
Czechia;09.05.2020;8095.0;18.0
Czechia;10.05.2020;8123.0;28.0
Czechia;11.05.2020;8176.0;53.0
Czechia;12.05.2020;8221.0;45.0
Czechia;13.05.2020;8269.0;48.0
Czechia;14.05.2020;8351.0;82.0
Czechia;15.05.2020;8406.0;55.0
Czechia;16.05.2020;8455.0;49.0
Czechia;17.05.2020;8475.0;20.0
Czechia;18.05.2020;8586.0;111.0
Czechia;19.05.2020;8647.0;61.0
